Severity	Likelihood	Relevance	Priority
5	0.83	0.35	0
6	0.27	0.84	0
3	0.24	0.23	0
7	0.97	0.12	0
6	0.51	0.9	0
3	0.87	0.9	0
1	0.51	0.16	0
1	0.2	0.76	0
5	0.44	0.29	0
8	0.61	0.85	0
8	0.51	0.34	0
6	0.3	0.53	0
4	0.84	0.38	0
10	0.17	0.82	0
6	0.59	0.28	0
9	0.5	0.13	0
10	0.91	0.91	1
9	0.35	0.2	0
9	0.15	0.72	0
1	0.34	0.31	0
5	0.8	0.85	0
7	0.92	0.2	0
1	0.37	0.91	0
5	0.4	0.94	0
8	0.96	0.78	1
2	0.85	0.11	0
1	0.29	0.9	0
3	0.37	0.16	0
10	0.45	0.18	0
8	0.26	0.63	0
10	0.59	0.14	0
2	0.32	0.92	0
5	0.85	0.24	0
4	0.21	0.62	0
1	0.68	0.14	0
2	0.69	0.76	0
1	0.74	0.19	0
10	0.82	0.84	1
2	0.37	0.32	0
5	0.58	0.55	0
1	0.89	0.8	0
2	0.67	0.16	0
6	0.79	0.32	0
4	0.24	0.3	0
10	0.2	0.51	0
1	0.67	1	0
9	0.33	0.38	0
1	0.97	0.43	0
7	0.2	0.47	0
5	0.27	1	0
2	0.78	0.8	0
3	0.88	0.94	0
2	0.48	0.44	0
8	0.72	0.26	0
5	0.94	0.15	0
2	0.12	0.36	0
3	0.11	0.4	0
8	0.25	0.83	0
10	0.63	0.92	0
3	0.56	0.51	0
8	0.37	0.2	0
1	0.54	0.33	0
2	0.34	0.11	0
2	0.98	0.92	0
3	0.66	0.5	0
10	0.69	0.18	0
10	0.52	0.37	0
6	0.94	0.75	1
6	0.51	0.72	0
1	0.33	0.45	0
10	0.19	0.35	0
5	0.74	0.32	0
3	0.14	0.72	0
6	0.77	0.4	0
7	0.72	0.58	0
7	0.42	0.23	0
9	0.89	0.35	0
3	0.47	0.5	0
3	0.63	0.69	0
7	0.13	0.82	0
3	0.54	0.32	0
9	0.38	0.38	0
9	0.47	0.5	0
10	0.45	0.16	0
6	0.82	0.82	1
3	0.74	0.3	0
3	0.29	0.18	0
1	0.56	0.7	0
6	0.95	0.26	0
2	0.28	0.74	0
10	0.3	0.48	0
6	0.36	0.65	0
9	0.63	0.68	0
5	0.89	0.55	0
5	0.74	0.84	0
6	0.2	0.89	0
5	0.48	0.36	0
9	0.5	0.78	0
6	0.26	0.26	0
6	0.74	0.67	0
6	0.35	0.88	0
6	0.73	0.79	0
7	0.5	0.14	0
8	0.18	0.69	0
3	0.97	0.81	0
7	0.84	0.3	0
6	0.95	0.21	0
6	0.61	0.95	0
6	0.79	0.77	0
10	0.51	0.63	0
3	0.87	0.55	0
7	0.57	0.68	0
1	0.85	0.41	0
1	0.17	0.43	0
5	0.82	0.97	0
8	0.75	0.55	0
7	0.49	0.72	0
9	0.7	0.22	0
9	0.45	0.28	0
1	0.37	0.81	0
1	0.43	0.32	0
1	0.84	0.12	0
1	0.19	0.76	0
1	0.41	0.64	0
3	0.53	0.57	0
5	0.6	0.35	0
2	0.78	0.42	0
6	0.22	0.57	0
6	0.44	0.2	0
3	0.74	0.79	0
6	0.6	0.73	0
7	0.5	0.29	0
2	0.73	0.96	0
1	0.87	0.51	0
9	0.94	0.13	0
8	0.58	0.49	0
10	0.53	0.49	0
6	0.46	0.31	0
2	0.24	0.14	0
9	0.17	0.11	0
9	0.34	0.21	0
4	0.55	0.14	0
3	0.69	0.39	0
9	0.85	0.68	0
4	0.81	0.61	0
3	0.7	0.26	0
3	0.66	0.2	0
3	0.88	0.61	0
6	0.71	0.51	0
4	0.44	0.44	0
9	0.37	0.96	0
9	0.48	0.77	0
10	0.48	0.26	0
5	0.34	0.56	0
2	0.59	0.46	0
9	0.65	0.22	0
2	0.6	0.7	0
9	0.61	0.94	0
5	0.41	0.85	0
3	0.3	0.32	0
5	0.52	0.68	0
10	0.94	0.98	1
5	0.43	0.12	0
9	0.72	0.86	0
1	0.84	0.66	0
4	0.4	0.97	0
6	0.12	0.65	0
7	0.86	0.12	0
5	0.49	0.28	0
1	0.6	0.7	0
4	0.83	0.74	0
1	0.98	0.74	0
10	0.57	0.13	0
5	0.78	0.18	0
7	0.9	0.37	0
2	0.11	0.5	0
7	0.81	0.29	0
10	0.65	0.56	0
3	0.83	0.38	0
5	0.85	0.16	0
2	0.44	0.89	0
10	0.37	0.36	0
3	0.54	0.5	0
8	0.85	0.59	0
4	1	0.51	0
6	0.64	0.87	0
1	0.49	0.16	0
9	0.12	0.99	0
10	0.51	0.57	0
3	0.24	0.42	0
1	0.63	0.66	0
8	0.81	0.98	1
3	0.9	0.33	0
4	0.35	0.45	0
5	0.64	0.56	0
8	0.99	0.4	0
4	0.88	0.8	0
7	0.51	0.25	0
2	0.4	0.61	0
8	0.26	0.12	0
9	0.65	0.53	0
5	0.78	0.24	0
1	0.35	0.38	0
4	0.13	0.73	0
4	0.4	0.28	0
9	0.85	0.36	0
9	0.17	0.19	0
4	0.42	0.55	0
5	0.87	0.52	0
1	0.17	0.12	0
8	0.91	0.5	0
5	0.84	0.66	0
5	0.31	0.22	0
4	0.94	0.56	0
4	0.61	0.82	0
6	0.99	0.77	1
3	0.98	0.61	0
8	0.33	0.47	0
5	0.81	0.52	0
3	0.18	0.32	0
7	0.5	0.8	0
2	0.88	0.19	0
10	0.59	1	0
5	0.28	0.53	0
8	0.42	0.21	0
3	0.67	0.78	0
7	0.49	0.71	0
3	0.28	0.72	0
4	0.98	0.32	0
4	0.68	0.74	0
7	0.18	0.13	0
5	0.93	0.49	0
3	0.73	0.23	0
1	0.53	0.75	0
10	0.31	0.79	0
1	0.85	0.78	0
9	0.84	0.74	1
6	0.88	0.16	0
5	0.2	0.16	0
5	0.18	0.84	0
3	0.58	1	0
6	0.52	0.21	0
6	0.79	0.98	0
7	0.51	0.67	0
5	0.61	0.11	0
4	0.38	0.12	0
5	0.98	0.98	0
